Date,Team,name_clean,Status,InjuryCategory
1994-11-03,Rockets,Chris Jent,Relinquished,Back
1994-11-03,Rockets,Eric Riley,Relinquished,Back
1994-11-03,Sonics,Rich King,Relinquished,Knee
1994-11-03,Sonics,Steve Scheffler,Relinquished,Ankle/Foot
1994-11-03,Suns,Aaron Swinson,Relinquished,Ankle/Foot
1994-11-03,Warriors,Dwayne Morton,Relinquished,Arm/Hand
1994-11-04,Bucks,Roy Hinson,Relinquished,Knee
1994-11-10,Suns,Charles Barkley,Relinquished,Muscular
1994-11-14,Hornets,Michael Adams,Relinquished,Muscular
1994-11-15,Nets,Yinka Dare,Relinquished,Knee
1994-11-15,Suns,Antonio Lang,Relinquished,Back
1994-11-16,Bulls,Larry Krystkowiak,Relinquished,Knee
1994-11-16,Celtics,Sherman Douglas,Relinquished,Knee
1994-11-17,Bullets,Anthony Tucker,Relinquished,Knee
1994-11-19,Nuggets,Laphonso Ellis,Relinquished,Knee
1994-11-20,Blazers,Rod Strickland,Relinquished,Arm/Hand
1994-11-26,Hornets,Tyrone Bogues,Relinquished,Muscular
1994-11-26,Suns,Kevin Johnson,Relinquished,Muscular
1994-11-29,Bullets,Gheorghe Muresan,Relinquished,Knee
1994-11-29,Knicks,Charlie Ward,Relinquished,Arm/Hand
1994-11-29,Knicks,Ron Grandison,Relinquished,Knee
1994-11-30,Hornets,Kenny Gattison,Relinquished,Back
1994-11-30,Magic,Geert Hammink,Relinquished,Knee
1994-11-30,Magic,Rodney Dent,Relinquished,Knee
1994-11-30,Nets,Kevin Edwards,Relinquished,Ankle/Foot
1994-11-30,Warriors,Manute Bol,Relinquished,Knee
1994-12-02,Bulls,Corie Blount,Relinquished,Ankle/Foot
1994-12-02,Nuggets,Reggie Williams,Relinquished,Knee
1994-12-04,Blazers,Aaron Mckie,Relinquished,Arm/Hand
1994-12-06,Pacers,Antonio Davis,Relinquished,Back
1994-12-06,Spurs,Willie Anderson,Relinquished,Arm/Hand
1994-12-07,Kings,Henry Turner,Relinquished,Ankle/Foot
1994-12-10,Pistons,Lindsey Hunter,Relinquished,Ankle/Foot
1994-12-10,Pistons,Oliver Miller,Relinquished,Arm/Hand
1994-12-12,Bullets,Don Maclean,Relinquished,Knee
1994-12-12,Celtics,Dino Radja,Relinquished,Arm/Hand
1994-12-12,Celtics,Tony Harris,Relinquished,Knee
1994-12-12,Suns,Aaron Swinson,Relinquished,Knee
1994-12-14,Kings,Trevor Wilson,Relinquished,Arm/Hand
1994-12-15,Nuggets,Darnell Mee,Relinquished,Ankle/Foot
1994-12-15,Pistons,Mark West,Relinquished,Knee
1994-12-16,Timberwolves,Stacey King,Relinquished,Knee
1994-12-20,Warriors,Ricky Pierce,Relinquished,Back
1994-12-23,Bullets,Chris Webber,Relinquished,Arm/Hand
1994-12-27,Knicks,Charles Oakley,Relinquished,Ankle/Foot
1994-12-27,Nets,Sean Higgins,Relinquished,Illness
1994-12-30,Pistons,Oliver Miller,Relinquished,Arm/Hand
1994-12-30,Timberwolves,Andres Guibert,Relinquished,Back
1995-01-02,Jazz,David Benoit,Relinquished,Ankle/Foot
1995-01-02,Knicks,Herb Williams,Relinquished,Arm/Hand
1995-01-03,Bulls,Larry Krystkowiak,Relinquished,Knee
1995-01-03,Pistons,Lindsey Hunter,Relinquished,Ankle/Foot
1995-01-09,Blazers,Steve Henson,Relinquished,Ankle/Foot
1995-01-09,Celtics,Acie Earl,Relinquished,Arm/Hand
1995-01-09,Lakers,Sedale Threatt,Relinquished,Ankle/Foot
1995-01-10,Warriors,Carlos Rogers,Relinquished,Back
1995-01-12,Magic,Jeff Turner,Relinquished,Knee
1995-01-13,Spurs,Moses Malone,Relinquished,Ankle/Foot
1995-01-13,Timberwolves,Stacey King,Relinquished,Ankle/Foot
1995-01-16,Nuggets,Tom Hammonds,Relinquished,Knee
1995-01-17,Jazz,Felton Spencer,Relinquished,Ankle/Foot
1995-01-18,Jazz,Jay Humphries,Relinquished,Knee
1995-01-19,Blazers,Aaron Mckie,Relinquished,Arm/Hand
1995-01-19,Nets,Eric Floyd,Relinquished,Knee
1995-01-19,Warriors,Chris Mullin,Relinquished,Ankle/Foot
1995-01-20,Celtics,Derek Strong,Relinquished,Arm/Hand
1995-01-20,Hornets,Tom Tolbert,Relinquished,Ankle/Foot
1995-01-24,Pistons,Ivano Newbill,Relinquished,Ankle/Foot
1995-01-26,Cavaliers,Mark Price,Relinquished,Arm/Hand
1995-01-27,Mavericks,Roy Tarpley,Relinquished,Knee
1995-01-27,Nuggets,Darnell Mee,Relinquished,Ankle/Foot
1995-01-31,Lakers,Sam Bowie,Relinquished,Arm/Hand
1995-02-01,Nets,Sean Higgins,Relinquished,Ankle/Foot
1995-02-02,Rockets,Carl Herrera,Relinquished,Muscular
1995-02-02,Timberwolves,Chris Smith,Relinquished,Ankle/Foot
1995-02-04,Bullets,Rex Chapman,Relinquished,Arm/Hand
1995-02-06,Clippers,Eric Riley,Relinquished,Ankle/Foot
1995-02-06,Suns,Danny Manning,Relinquished,Knee
1995-02-08,Kings,Doug Lee,Relinquished,Back
1995-02-13,Lakers,Cedric Ceballos,Relinquished,Arm/Hand
1995-02-14,Hawks,Craig Ehlo,Relinquished,Knee
1995-02-14,Rockets,Robert Horry,Relinquished,Back
1995-02-14,Warriors,Ryan Lorthridge,Relinquished,Illness
1995-02-15,76ers,B.J. Tyler,Relinquished,Muscular
